apn,prod_nbr,pim_cls_desc,pim_ctgry_desc,pim_grp_desc,pim_prod_desc_lng,total_allowance_for_flyer,ctch_wt_ind,div_cnt,cust_cnt,ttl_pa,ttl_qty_shipped,pa_per_cs,ttl_wght_shipped,pa_per_lb,ttl_tgp,grss_tgp_cs,grss_tgp_lb,ttl_tgp_uom,ttl_pa_uom,ttl_qty_ordered,ttl_prd_allowance,ttl_prd_allwnc_uom,sell_prc_per_uom,dwacost_per_uom,tgppa_uom,tgppa_pls_prdctallwnc_uom,time_frame,qty_pre6,qty_pre5,qty_pre4,qty_pre3,qty_pre2,qty_pre1,qty_promo,qty_post1,qty_post2,qty_post3,qty_post4,qty_post5,cust_cnt_pre6,cust_cnt_pre5,cust_cnt_pre4,cust_cnt_pre3,cust_cnt_pre2,cust_cnt_pre1,cust_count_promo,cust_cnt_post1,cust_cnt_post2,cust_cnt_post3,cust_cnt_post4,cust_cnt_post5,qty_per_cust_pre6,qty_per_cust_pre5,qty_per_cust_pre4,qty_per_cust_pre3,qty_per_cust_pre2,qty_per_cust_pre1,qty_per_cust_promo,qty_per_cust_post1,qty_per_cust_post2,qty_per_cust_post3
2720977,2720977,POULTRY,"CHICKEN, NOT FURTHER PROCESSED, REF","CHICKEN, BREAST, BONELESS, RAW, REF","CHICKEN, BREAST DOUBLE-LOBE RANDOM JUMBO BONELESS-SKINLESS RAW REF CVP",4,N,53,10051,333046.83111067,59905.0000,5.559583,2396200.00,0.138990,217557.00665725,3.631700,0.090793,3.631700,5.559583,59971.00,-239620.00,-4.000000,55.315578,51.683884,9.191283,5.191283,2016nf7 (2weeks),113.0000,71.0000,0.0000,0.0000,0.0000,0.0000,1963.0000,0.0000,0.0000,0.0000,0.0000,113.0000,35,35,0,0,0,0,663,0,0,0,0,39,3.228571,2.028571,0.000000,0.000000,0.000000,0.000000,2.960784,0.000000,0.000000,0.000000
9329269,9329269,"FRUITS & VEGETABLES, CANNED & DRIED","TOMATOES, CANNED","TOMATOES, CANNED, WHOLE","TOMATO, WHOLE IN JUICE PEELED CANNED",4,N,55,3136,229912.33891557,59888.0000,3.839039,2290716.00,0.100367,16595.65489216,0.277112,0.007245,0.277112,3.839039,60190.00,-239552.00,-4.000000,17.125065,16.847942,4.116151,0.116151,2016nf7 (2weeks),352.0000,580.0000,0.0000,0.0000,0.0000,0.0000,13060.0000,0.0000,0.0000,0.0000,0.0000,327.0000,37,40,0,0,0,0,417,0,0,0,0,37,9.513514,14.500000,0.000000,0.000000,0.000000,0.000000,31.318945,0.000000,0.000000,0.000000
8383283,8383283,"GROCERY, DRY","SUGAR, BULK","SUGAR, WHITE & RAW, BULK","SUGAR, WHITE EXTRA FINE CANE",4,N,56,10263,208038.70000000,37437.0000,5.557034,1871850.00,0.111141,54164.76000000,1.446824,0.028936,1.446824,5.557034,37437.00,-149748.00,-4.000000,26.775451,25.328627,7.003858,3.003858,2016nf7 (2weeks),163.0000,127.0000,0.0000,0.0000,0.0000,0.0000,4990.0000,0.0000,0.0000,0.0000,0.0000,200.0000,88,73,0,0,0,0,1271,0,0,0,0,93,1.852273,1.739726,0.000000,0.000000,0.000000,0.000000,3.926042,0.000000,0.000000,0.000000
8326696,8326696,"PRODUCE, FRESH","ONIONS, FRESH","ONIONS, YELLOW, FRESH","ONION, YELLOW JUMBO 3""+ BAG FRESH REF",3,N,48,9702,83719.51875237,22861.0000,3.662111,1143050.00,0.073242,80292.27472272,3.512194,0.070244,3.512194,3.662111,22861.00,-68583.00,-3.000000,24.745920,21.244095,7.174305,4.174305,2016nf7 (2weeks),131.0000,88.0000,0.0000,0.0000,0.0000,0.0000,1341.0000,0.0000,0.0000,0.0000,0.0000,97.0000,79,64,0,0,0,0,753,0,0,0,0,66,1.658228,1.375000,0.000000,0.000000,0.000000,0.000000,1.780876,0.000000,0.000000,0.000000
899807,899807,DAIRY,BUTTER,"BUTTER, REFRIGERATED","BUTTER, SOLID GRADE AA UNSALTED REF",4,N,46,4288,60435.96472267,9855.6112,6.132138,354802.00,0.170337,89285.09000000,9.059315,0.251648,9.059315,6.132138,9860.62,-39416.00,-3.999346,97.115534,88.056218,15.191453,11.192107,2016nf7 (2weeks),30.0000,37.0000,0.0000,0.0000,0.0000,0.0000,423.0000,0.0000,0.0000,0.0000,0.0000,32.0000,30,36,0,0,0,0,344,0,0,0,0,31,1.000000,1.027778,0.000000,0.000000,0.000000,0.000000,1.229651,0.000000,0.000000,0.000000
5328604,5328604,"GROCERY, REF & FZN","BREAD & DOUGH, REF & FZN","BUNS, HAMBURGER & HOT DOG, FROZEN","BUN, HAMBURGER 4"" SLICED TFF BAKED FROZEN",3,N,56,2086,48343.89452469,5927.0000,8.156554,74680.21,0.647345,24185.56000000,4.080574,0.323855,4.080574,8.156554,5928.01,-17778.00,-2.999494,24.498019,20.417446,12.237128,9.237634,2016nf7 (2weeks),47.0000,60.0000,0.0000,0.0000,0.0000,0.0000,576.0000,0.0000,0.0000,0.0000,0.0000,28.0000,20,23,0,0,0,0,268,0,0,0,0,15,2.350000,2.608696,0.000000,0.000000,0.000000,0.000000,2.149254,0.000000,0.000000,0.000000
7693799,7693799,"APPETIZERS, ENTREES, & POTATOES REF & FZN","POTATOES, FZN","POTATOES, SWEET, FRENCH FRIED, FROZEN","POTATO, FRENCH-FRY SWEET 3/8"" STRAIGHT-CUT SKIN-ON FROZEN HOUSE",5,N,56,1548,33702.11470249,5531.0000,6.093313,82965.00,0.406221,21494.61279290,3.886207,0.259080,3.886207,6.093313,5532.00,-27655.00,-5.000000,28.547145,24.683291,9.979520,4.979520,2016nf7 (2weeks),8.0000,4.0000,0.0000,0.0000,0.0000,0.0000,265.0000,0.0000,0.0000,0.0000,0.0000,9.0000,6,4,0,0,0,0,161,0,0,0,0,6,1.333333,1.000000,0.000000,0.000000,0.000000,0.000000,1.645963,0.000000,0.000000,0.000000
877506,877506,DAIRY,BUTTER,"BUTTER, REFRIGERATED","BUTTER, SOLID GRADE AA SALTED REF",4,N,46,2233,31780.77036939,5186.2778,6.127857,186706.00,0.170218,42683.83000000,8.230147,0.228615,8.230147,6.127857,5186.28,-20744.00,-3.999786,95.693272,87.463124,14.358004,10.358218,2016nf7 (2weeks),16.0000,16.5556,0.0000,0.0000,0.0000,0.0000,328.2222,0.0000,0.0000,0.0000,0.0000,20.0000,17,17,0,0,0,0,256,0,0,0,0,20,0.941176,0.973859,0.000000,0.000000,0.000000,0.000000,1.282118,0.000000,0.000000,0.000000
3328606,3328606,"GROCERY, REF & FZN","BREAD & DOUGH, REF & FZN","BUNS, HAMBURGER & HOT DOG, FROZEN","BUN, HOT DOG 6"" SLICED TFF BAKED FROZEN",3,N,52,1797,37984.12722436,4661.0000,8.149351,46610.00,0.814935,19077.81000000,4.093072,0.409307,4.093072,8.149351,4661.00,-13983.00,-3.000000,24.032555,19.939483,12.242423,9.242423,2016nf7 (2weeks),42.0000,33.0000,0.0000,0.0000,0.0000,0.0000,682.0000,0.0000,0.0000,0.0000,0.0000,31.0000,17,19,0,0,0,0,358,0,0,0,0,22,2.470588,1.736842,0.000000,0.000000,0.000000,0.000000,1.905028,0.000000,0.000000,0.000000
3340817,3340817,CHEESE,"CHEESE, PROCESSED","CHEESE, PASTEURIZED/PROCESSED, SLICES","CHEESE, AMERICAN SLICED 160 COUNT TFF PROCESSED YELLOW REF",4,N,49,2311,27446.85300716,4257.7500,6.446328,85155.00,0.322316,36011.53000000,8.457878,0.422894,8.457878,6.446328,4259.75,-17016.00,-3.996477,44.454484,35.996606,14.904206,10.907729,2016nf7 (2weeks),12.5000,15.2500,0.0000,0.0000,0.0000,0.0000,510.2500,0.0000,0.0000,0.0000,0.0000,38.2500,11,15,0,0,0,0,362,0,0,0,0,33,1.136364,1.016667,0.000000,0.000000,0.000000,0.000000,1.409530,0.000000,0.000000,0.000000
