apn,prod_nbr,pim_cls_desc,pim_ctgry_desc,pim_grp_desc,pim_prod_desc_lng,total_allowance_for_flyer,ctch_wt_ind,div_cnt,cust_cnt,ttl_pa,ttl_qty_shipped,pa_per_cs,ttl_wght_shipped,pa_per_lb,ttl_tgp,grss_tgp_cs,grss_tgp_lb,ttl_tgp_uom,ttl_pa_uom,ttl_qty_ordered,ttl_prd_allowance,ttl_prd_allwnc_uom,sell_prc_per_uom,dwacost_per_uom,tgppa_uom,tgppa_pls_prdctallwnc_uom,time_frame,qty_pre6,qty_pre5,qty_pre4,qty_pre3,qty_pre2,qty_pre1,qty_promo,qty_post1,qty_post2,qty_post3,cust_cnt_pre6,cust_cnt_pre5,cust_cnt_pre4,cust_cnt_pre3,cust_cnt_pre2,cust_cnt_pre1,cust_count_promo,cust_cnt_post1,cust_cnt_post2,cust_cnt_post3,qty_per_cust_pre6,qty_per_cust_pre5,qty_per_cust_pre4,qty_per_cust_pre3,qty_per_cust_pre2,qty_per_cust_pre1,qty_per_cust_promo,qty_per_cust_post1,qty_per_cust_post2,qty_per_cust_post3
2720977,2720977,POULTRY,"CHICKEN, NOT FURTHER PROCESSED, REF","CHICKEN, BREAST, BONELESS, RAW, REF","CHICKEN, BREAST DOUBLE-LOBE RANDOM JUMBO BONELESS-SKINLESS RAW REF CVP",4,N,53,10051,333046.83111067,59905.0000,5.559583,2396200.00,0.138990,217557.00665725,3.631700,0.090793,3.631700,5.559583,59971.00,-239620.00,-4.000000,55.315578,51.683884,9.191283,5.191283,2016nf7 (2weeks),43030.0000,45832.0000,53020.0000,47298.0000,47435.0000,50112.0000,55732.0000,44831.0000,47286.0000,47980.0000,6482,6651,7265,7026,7191,7468,8822,7117,7057,6956,6.638383,6.890994,7.298004,6.731853,6.596440,6.710230,6.317388,6.299143,6.700581,6.897642
9329269,9329269,"FRUITS & VEGETABLES, CANNED & DRIED","TOMATOES, CANNED","TOMATOES, CANNED, WHOLE","TOMATO, WHOLE IN JUICE PEELED CANNED",4,N,55,3136,229912.33891557,59888.0000,3.839039,2290716.00,0.100367,16595.65489216,0.277112,0.007245,0.277112,3.839039,60190.00,-239552.00,-4.000000,17.125065,16.847942,4.116151,0.116151,2016nf7 (2weeks),18663.3333,21148.1666,23800.8333,21191.8333,22196.6667,22169.8334,43509.1666,14887.3333,16183.6667,16807.8333,1769,1840,1908,1973,2001,1983,2519,1611,1644,1635,10.550217,11.493569,12.474231,10.740919,11.092787,11.179946,17.272396,9.241051,9.844080,10.280020
8383283,8383283,"GROCERY, DRY","SUGAR, BULK","SUGAR, WHITE & RAW, BULK","SUGAR, WHITE EXTRA FINE CANE",4,N,56,10263,208038.70000000,37437.0000,5.557034,1871850.00,0.111141,54164.76000000,1.446824,0.028936,1.446824,5.557034,37437.00,-149748.00,-4.000000,26.775451,25.328627,7.003858,3.003858,2016nf7 (2weeks),16422.0000,17291.0000,19355.0000,19437.0000,20734.0000,20872.0000,29435.0000,17849.0000,19795.0000,21429.0000,5272,5459,5816,5946,6211,6150,8127,5610,5878,5932,3.114947,3.167430,3.327889,3.268920,3.338271,3.393821,3.621878,3.181640,3.367642,3.612441
8326696,8326696,"PRODUCE, FRESH","ONIONS, FRESH","ONIONS, YELLOW, FRESH","ONION, YELLOW JUMBO 3""+ BAG FRESH REF",3,N,48,9702,83719.51875237,22861.0000,3.662111,1143050.00,0.073242,80292.27472272,3.512194,0.070244,3.512194,3.662111,22861.00,-68583.00,-3.000000,24.745920,21.244095,7.174305,4.174305,2016nf7 (2weeks),15113.6800,15058.2400,16363.8800,15460.0000,15975.9200,15891.0000,20030.0000,15211.0800,15484.7600,15294.7600,5693,5728,6150,6052,6214,6064,8289,5736,5922,5908,2.654783,2.628883,2.660793,2.554527,2.570956,2.620547,2.416456,2.651862,2.614786,2.588822
899807,899807,DAIRY,BUTTER,"BUTTER, REFRIGERATED","BUTTER, SOLID GRADE AA UNSALTED REF",4,N,46,4288,60435.96472267,9855.6112,6.132138,354802.00,0.170337,89285.09000000,9.059315,0.251648,9.059315,6.132138,9860.62,-39416.00,-3.999346,97.115534,88.056218,15.191453,11.192107,2016nf7 (2weeks),6152.7222,6484.1945,7176.8333,7101.4447,7025.2775,7039.9166,8982.5278,6433.6110,6779.4446,6741.7223,2388,2490,2691,2691,2779,2645,3675,2474,2630,2551,2.576517,2.604094,2.666976,2.638961,2.527988,2.661594,2.444225,2.600489,2.577736,2.642776
5328604,5328604,"GROCERY, REF & FZN","BREAD & DOUGH, REF & FZN","BUNS, HAMBURGER & HOT DOG, FROZEN","BUN, HAMBURGER 4"" SLICED TFF BAKED FROZEN",3,N,56,2086,48343.89452469,5927.0000,8.156554,74680.21,0.647345,24185.56000000,4.080574,0.323855,4.080574,8.156554,5928.01,-17778.00,-2.999494,24.498019,20.417446,12.237128,9.237634,2016nf7 (2weeks),2056.0000,2281.0000,2429.2500,2652.7500,3240.7500,3402.2500,4815.0000,3209.0000,3431.0000,3105.0000,791,828,923,980,1127,1099,1633,976,1050,974,2.599241,2.754831,2.631907,2.706888,2.875555,3.095769,2.948561,3.287910,3.267619,3.187885
7693799,7693799,"APPETIZERS, ENTREES, & POTATOES REF & FZN","POTATOES, FZN","POTATOES, SWEET, FRENCH FRIED, FROZEN","POTATO, FRENCH-FRY SWEET 3/8"" STRAIGHT-CUT SKIN-ON FROZEN HOUSE",5,N,56,1548,33702.11470249,5531.0000,6.093313,82965.00,0.406221,21494.61279290,3.886207,0.259080,3.886207,6.093313,5532.00,-27655.00,-5.000000,28.547145,24.683291,9.979520,4.979520,2016nf7 (2weeks),3335.0000,3648.0000,3851.0000,3904.0000,4199.0000,4215.0000,4940.0000,4125.0000,4249.0000,4214.0000,881,938,972,1006,1032,1044,1277,972,985,972,3.785471,3.889126,3.961934,3.880716,4.068798,4.037356,3.868442,4.243827,4.313706,4.335391
877506,877506,DAIRY,BUTTER,"BUTTER, REFRIGERATED","BUTTER, SOLID GRADE AA SALTED REF",4,N,46,2233,31780.77036939,5186.2778,6.127857,186706.00,0.170218,42683.83000000,8.230147,0.228615,8.230147,6.127857,5186.28,-20744.00,-3.999786,95.693272,87.463124,14.358004,10.358218,2016nf7 (2weeks),2631.1112,3001.4444,3373.5834,3307.3333,3247.4999,3499.9445,4526.5279,3056.8333,3275.7778,3461.9167,1059,1122,1251,1237,1284,1200,1798,1135,1229,1229,2.484524,2.675084,2.696709,2.673673,2.529206,2.916620,2.517535,2.693245,2.665401,2.816857
3328606,3328606,"GROCERY, REF & FZN","BREAD & DOUGH, REF & FZN","BUNS, HAMBURGER & HOT DOG, FROZEN","BUN, HOT DOG 6"" SLICED TFF BAKED FROZEN",3,N,52,1797,37984.12722436,4661.0000,8.149351,46610.00,0.814935,19077.81000000,4.093072,0.409307,4.093072,8.149351,4661.00,-13983.00,-3.000000,24.032555,19.939483,12.242423,9.242423,2016nf7 (2weeks),1495.0000,1419.0000,1464.8750,1863.0000,2148.0000,2211.0000,3471.0000,2148.0000,2160.0000,1792.0000,535,541,624,678,794,775,1247,693,699,668,2.794393,2.622921,2.347556,2.747788,2.705290,2.852903,2.783480,3.099567,3.090129,2.682635
3340817,3340817,CHEESE,"CHEESE, PROCESSED","CHEESE, PASTEURIZED/PROCESSED, SLICES","CHEESE, AMERICAN SLICED 160 COUNT TFF PROCESSED YELLOW REF",4,N,49,2311,27446.85300716,4257.7500,6.446328,85155.00,0.322316,36011.53000000,8.457878,0.422894,8.457878,6.446328,4259.75,-17016.00,-3.996477,44.454484,35.996606,14.904206,10.907729,2016nf7 (2weeks),2212.0000,2130.5000,2387.7500,2335.7500,2514.0000,2445.5000,3377.5000,2221.2500,2388.5000,2488.5000,1121,1142,1238,1220,1280,1224,1742,1094,1217,1254,1.973238,1.865587,1.928716,1.914549,1.964063,1.997958,1.938863,2.030393,1.962613,1.984450
7328693,7328693,OILS & SHORTENING,"OIL, FRYING & SALAD","OIL, FRYING, LIQUID, PEANUT","SHORTENING, FRYING PEANUT LIQUID CLEAR TFF OIL",3,N,47,402,20336.61251869,3593.0000,5.660065,125755.00,0.161716,7590.62000000,2.112613,0.060360,2.112613,5.660065,3594.00,-14372.00,-4.000000,38.570932,36.458319,7.772678,3.772678,2016nf7 (2weeks),1906.0000,1911.0000,2135.0000,2075.0000,2137.0000,2011.0000,3276.0000,1793.0000,1879.0000,2016.0000,252,249,274,269,287,286,338,255,267,264,7.563492,7.674699,7.791971,7.713755,7.445993,7.031469,9.692308,7.031373,7.037453,7.636364
1005891,1005891,POULTRY,"CHICKEN, FURTHER PROCESSED, REF & FZN","CHICKEN, WING & WING SECTIONS, BATTERED, BREADED, COOKED, FROZEN","CHICKEN, WING 1ST-&-2ND-JOINT BREADED SEASONED 12-16 COUNT COOKED FROZEN GO",3,N,36,775,25426.60212944,3508.0000,7.248176,52620.00,0.483212,10412.50000000,2.968216,0.197881,2.968216,7.248176,3508.00,-10524.00,-3.000000,52.486035,49.649806,10.216392,7.216392,2016nf7 (2weeks),2212.0000,2432.0000,2599.0000,2508.0000,2672.0000,2639.0000,3254.0000,2430.0000,2756.0000,2520.0000,464,471,495,495,531,519,657,482,493,494,4.767241,5.163482,5.250505,5.066667,5.032015,5.084778,4.952816,5.041494,5.590264,5.101215
7779093,7779093,"PRODUCE, FRESH","LETTUCE, SPINACH & MICRO GREENS, FRESH","LETTUCE, ICEBERG, FRESH, VALUE ADDED","LETTUCE, ICEBERG GREEN LEAF BETTER BURGER BAG FRESH REF",2,N,37,1332,12482.08140812,3403.0000,3.667964,34030.00,0.366796,14578.83000000,4.284111,0.428411,4.284111,3.667964,3416.00,-6806.00,-2.000000,24.302442,20.018331,7.952075,5.952075,2016nf7 (2weeks),1972.5000,2176.5000,2244.5000,2424.5000,2599.5000,2690.0000,3081.5000,2778.0000,2757.5000,2651.0000,750,801,834,897,945,939,1131,924,903,921,2.630000,2.717228,2.691247,2.702899,2.750794,2.864750,2.724580,3.006494,3.053710,2.878393
1330083,1330083,PROCESSED MEAT,HOT DOGS & CORN DOGS,"HOT DOGS, BEEF, FROZEN","HOT DOG, ALL-BEEF 4:1 6"" ROLLER GRILL COOKED FROZEN",2.5,N,40,693,16478.84000000,2290.0000,7.196000,22900.00,0.719600,14663.44000000,6.403249,0.640325,6.403249,7.196000,2290.00,-5725.00,-2.500000,30.913131,24.509882,13.599249,11.099249,2016nf7 (2weeks),809.0000,886.0000,926.0000,998.0000,1324.0000,1246.0000,1775.0000,1042.0000,1199.0000,1076.0000,258,270,312,301,349,326,484,295,305,289,3.135659,3.281481,2.967949,3.315615,3.793696,3.822086,3.667355,3.532203,3.931148,3.723183
3938214,3938214,PORK,"HAM, BONELESS, SMOKED/CURED","HAM, BONELESS, NATURAL JUICE OR NATURALLY CURED, REFRIGERATED","HAM, BONELESS D-SHAPED SMOKED APPLEWOOD REF DELI-FACED ALL NATURAL PORK",0.4,Y,54,1009,16735.98895330,2261.5000,7.400393,36189.63,0.462453,27862.67000000,12.320438,0.769908,0.769908,0.462453,2261.50,-14472.89,-0.399918,4.027606,3.257699,1.232361,0.832443,2016nf7 (2weeks),1523.0000,1725.0000,1718.5000,1773.0000,1810.0000,1857.5000,2078.5000,1735.0000,1835.0000,1831.0000,642,687,710,720,738,722,904,696,714,708,2.372274,2.510917,2.420423,2.462500,2.452575,2.572715,2.299226,2.492816,2.570028,2.586158
4681433,4681433,DAIRY,BUTTER,"BUTTER, REFRIGERATED","BUTTER, SOLID AA UNSALTED REF",4,N,10,964,11712.75000000,2231.0000,5.250000,66930.00,0.175000,17953.76000000,8.047405,0.268247,8.047405,5.250000,2231.00,-8924.00,-4.000000,80.370117,72.322712,13.297405,9.297405,2016nf7 (2weeks),1515.8000,1395.0000,1687.0000,1521.0000,1685.0000,1693.0000,2082.2000,1654.0000,1770.0000,1786.0000,574,571,608,623,652,622,850,607,651,637,2.640767,2.443082,2.774671,2.441413,2.584356,2.721865,2.449647,2.724876,2.718894,2.803768
1033752,1033752,POULTRY,"CHICKEN, FURTHER PROCESSED, REF & FZN","CHICKEN, WING & WING SECTIONS, BATTERED, BREADED, COOKED, FROZEN","CHICKEN, WING 1ST-&-2ND-JOINT BREADED HOT & SPICY 12-16 COUNT COOKED FROZEN",3,N,28,424,14754.05369081,2183.0000,6.758614,32745.00,0.450574,6562.21000000,3.006051,0.200403,3.006051,6.758614,2184.00,-6549.00,-3.000000,51.337013,50.393633,9.764665,6.764665,2016nf7 (2weeks),1121.0000,1268.0000,1357.0000,1346.0000,1538.0000,1553.0000,2028.0000,2015.0000,1946.0000,2093.0000,240,259,258,264,272,295,359,267,258,269,4.670833,4.895753,5.259690,5.098485,5.654412,5.264407,5.649025,7.546816,7.542636,7.780669
7330095,7330095,PROCESSED MEAT,HOT DOGS & CORN DOGS,"HOT DOGS, BEEF, FROZEN","HOT DOG, ALL-BEEF 8:1 6"" ROLLER GRILL COOKED FROZEN",2.5,N,47,640,15320.28400000,2129.0000,7.196000,21290.00,0.719600,12419.98000000,5.833715,0.583372,5.833715,7.196000,2129.00,-5322.50,-2.500000,30.353156,24.519441,13.029715,10.529715,2016nf7 (2weeks),436.0000,612.0000,648.0000,597.0000,872.0000,1096.0000,1542.0000,1209.0000,935.0000,1107.0000,157,170,199,196,249,232,386,211,211,220,2.777070,3.600000,3.256281,3.045918,3.502008,4.724138,3.994819,5.729858,4.431280,5.031818
9855909,9855909,DISPOSABLES,"STRAWS, STIRRERS, STEAK MARKERS, SKEWERS & OTHER",STRAWS,"STRAW, JUMBO 7.75"" TRANSLUCENT WRAPPED PAPER STANDARD POLYPROPYLENE BOX",4,N,53,1702,17664.58335680,1970.0000,8.966794,9987.90,1.768598,12153.74000000,6.169411,1.216846,6.169411,8.966794,1970.00,-7880.00,-4.000000,28.178990,22.009579,15.136205,11.136205,2016nf7 (2weeks),703.7000,640.2000,828.2000,797.9000,772.7000,657.0000,1401.3000,645.2000,764.0000,814.0000,620,551,702,669,667,548,1181,510,631,666,1.135000,1.161887,1.179772,1.192676,1.158471,1.198905,1.186537,1.265098,1.210777,1.222222
