apn,prod_nbr,pim_cls_desc,pim_ctgry_desc,pim_grp_desc,pim_prod_desc_lng,total_allowance_for_flyer,ctch_wt_ind,div_cnt,cust_cnt,ttl_pa,ttl_qty_shipped,pa_per_cs,ttl_wght_shipped,pa_per_lb,ttl_tgp,grss_tgp_cs,grss_tgp_lb,ttl_tgp_uom,ttl_pa_uom,ttl_qty_ordered,ttl_prd_allowance,ttl_prd_allwnc_uom,sell_prc_per_uom,dwacost_per_uom,tgppa_uom,tgppa_pls_prdctallwnc_uom,time_frame,qty_pre6,qty_pre5,qty_pre4,qty_pre3,qty_pre2,qty_pre1,qty_promo,qty_post1,qty_post2,qty_post3,cust_cnt_pre6,cust_cnt_pre5,cust_cnt_pre4,cust_cnt_pre3,cust_cnt_pre2,cust_cnt_pre1,cust_count_promo,cust_cnt_post1,cust_cnt_post2,cust_cnt_post3,qty_per_cust_pre6,qty_per_cust_pre5,qty_per_cust_pre4,qty_per_cust_pre3,qty_per_cust_pre2,qty_per_cust_pre1,qty_per_cust_promo,qty_per_cust_post1,qty_per_cust_post2,qty_per_cust_post3
2720977,2720977,POULTRY,"CHICKEN, NOT FURTHER PROCESSED, REF","CHICKEN, BREAST, BONELESS, RAW, REF","CHICKEN, BREAST DOUBLE-LOBE RANDOM JUMBO BONELESS-SKINLESS RAW REF CVP",4,N,53,10051,333046.8311,59905,5.559583,2396200,0.13899,217557.0067,3.6317,0.090793,3.6317,5.559583,59971,-239620,-4,55.315578,51.683884,9.191283,5.191283,2016nf7 (2weeks),157,117,0,0,0,0,1719,1149,1245,1254,58,44,0,0,0,0,521,318,312,298,2.706897,2.659091,0,0,0,0,3.299424,3.613208,3.990385,4.208054
9329269,9329269,"FRUITS & VEGETABLES, CANNED & DRIED","TOMATOES, CANNED","TOMATOES, CANNED, WHOLE","TOMATO, WHOLE IN JUICE PEELED CANNED",4,N,55,3136,229912.3389,59888,3.839039,2290716,0.100367,16595.65489,0.277112,0.007245,0.277112,3.839039,60190,-239552,-4,17.125065,16.847942,4.116151,0.116151,2016nf7 (2weeks),149.1667,345,0,0,0,0,2155,449,468.1667,628,28,28,0,0,0,0,153,70,77,85,5.327382,12.321429,0,0,0,0,14.084967,6.414286,6.080087,7.388235
8383283,8383283,"GROCERY, DRY","SUGAR, BULK","SUGAR, WHITE & RAW, BULK","SUGAR, WHITE EXTRA FINE CANE",4,N,56,10263,208038.7,37437,5.557034,1871850,0.111141,54164.76,1.446824,0.028936,1.446824,5.557034,37437,-149748,-4,26.775451,25.328627,7.003858,3.003858,2016nf7 (2weeks),173,158,0,0,0,0,2380,1055,1210,1358,99,73,0,0,0,0,758,369,406,456,1.747475,2.164384,0,0,0,0,3.139842,2.859079,2.980296,2.97807
8326696,8326696,"PRODUCE, FRESH","ONIONS, FRESH","ONIONS, YELLOW, FRESH","ONION, YELLOW JUMBO 3""+ BAG FRESH REF",3,N,48,9702,83719.51875,22861,3.662111,1143050,0.073242,80292.27472,3.512194,0.070244,3.512194,3.662111,22861,-68583,-3,24.74592,21.244095,7.174305,4.174305,2016nf7 (2weeks),157,138,0,0,0,0,1004,577,507.48,535,95,95,0,0,0,0,571,305,303,305,1.652632,1.452632,0,0,0,0,1.758319,1.891803,1.674851,1.754098
899807,899807,DAIRY,BUTTER,"BUTTER, REFRIGERATED","BUTTER, SOLID GRADE AA UNSALTED REF",4,N,46,4288,60435.96472,9855.6112,6.132138,354802,0.170337,89285.09,9.059315,0.251648,9.059315,6.132138,9860.62,-39416,-3.999346,97.115534,88.056218,15.191453,11.192107,2016nf7 (2weeks),59.25,46.25,0,0,0,0,342.9444,165.0556,231.8611,154.1667,37,40,0,0,0,0,231,119,120,115,1.601351,1.15625,0,0,0,0,1.484608,1.387022,1.932176,1.34058
5328604,5328604,"GROCERY, REF & FZN","BREAD & DOUGH, REF & FZN","BUNS, HAMBURGER & HOT DOG, FROZEN","BUN, HAMBURGER 4"" SLICED TFF BAKED FROZEN",3,N,56,2086,48343.89452,5927,8.156554,74680.21,0.647345,24185.56,4.080574,0.323855,4.080574,8.156554,5928.01,-17778,-2.999494,24.498019,20.417446,12.237128,9.237634,2016nf7 (2weeks),40,18,0,0,0,0,455,248,296,169,15,11,0,0,0,0,168,99,89,78,2.666667,1.636364,0,0,0,0,2.708333,2.505051,3.325843,2.166667
7693799,7693799,"APPETIZERS, ENTREES, & POTATOES REF & FZN","POTATOES, FZN","POTATOES, SWEET, FRENCH FRIED, FROZEN","POTATO, FRENCH-FRY SWEET 3/8"" STRAIGHT-CUT SKIN-ON FROZEN HOUSE",5,N,56,1548,33702.1147,5531,6.093313,82965,0.406221,21494.61279,3.886207,0.25908,3.886207,6.093313,5532,-27655,-5,28.547145,24.683291,9.97952,4.97952,2016nf7 (2weeks),15,22,0,0,0,0,265,189,167,164,10,15,0,0,0,0,91,48,50,42,1.5,1.466667,0,0,0,0,2.912088,3.9375,3.34,3.904762
877506,877506,DAIRY,BUTTER,"BUTTER, REFRIGERATED","BUTTER, SOLID GRADE AA SALTED REF",4,N,46,2233,31780.77037,5186.2778,6.127857,186706,0.170218,42683.83,8.230147,0.228615,8.230147,6.127857,5186.28,-20744,-3.999786,95.693272,87.463124,14.358004,10.358218,2016nf7 (2weeks),18,35,0,0,0,0,273.0278,152,224,129,15,28,0,0,0,0,149,73,84,80,1.2,1.25,0,0,0,0,1.832401,2.082192,2.666667,1.6125
3328606,3328606,"GROCERY, REF & FZN","BREAD & DOUGH, REF & FZN","BUNS, HAMBURGER & HOT DOG, FROZEN","BUN, HOT DOG 6"" SLICED TFF BAKED FROZEN",3,N,52,1797,37984.12722,4661,8.149351,46610,0.814935,19077.81,4.093072,0.409307,4.093072,8.149351,4661,-13983,-3,24.032555,19.939483,12.242423,9.242423,2016nf7 (2weeks),29,32,0,0,0,0,409,135,161,112,18,20,0,0,0,0,168,84,76,66,1.611111,1.6,0,0,0,0,2.434524,1.607143,2.118421,1.69697
3340817,3340817,CHEESE,"CHEESE, PROCESSED","CHEESE, PASTEURIZED/PROCESSED, SLICES","CHEESE, AMERICAN SLICED 160 COUNT TFF PROCESSED YELLOW REF",4,N,49,2311,27446.85301,4257.75,6.446328,85155,0.322316,36011.53,8.457878,0.422894,8.457878,6.446328,4259.75,-17016,-3.996477,44.454484,35.996606,14.904206,10.907729,2016nf7 (2weeks),20.25,13,0,0,0,0,223.25,82,119,134,17,13,0,0,0,0,147,58,78,82,1.191176,1,0,0,0,0,1.518707,1.413793,1.525641,1.634146
